emotion,valence,arousal,time,number
joy,0.64,0.64,10,1
joy,0.82,0.52,18,2
joy,0.71,0.51,15,3
anticipation,0.21,0.82,10,4
fear,-0.85,0.05,7,5
surprise,-0.05,-0.67,20,6
joy,0.37,0.37,20,7
surprise,-0.1,-0.8,15,8
anticipation,0.19,0.81,15,9
surprise,-0.15,-0.5,15,10
joy,0.9,0.7,20,11
trust,0.9,-0.2,15,12
joy,0.8,0.4,20,13
anger,-0.2,0.8,20,14
surprise,0.4,-0.6,25,15
surprise,-0.15,-0.9,10,16
fear,-0.75,-0.4,5,17
joy,0.7,0.7,11,18
anticipation,0.05,0.9,10,19
anticipation,0.63,0.84,5,20
sadness,-0.64,-0.64,15,21
trust,0.67,-0.7,10,22
surprise,-0.2,-0.9,10,23
anticipation,0.3,0.9,10,24
joy,0.69,0.69,3,25
